x,y,region,country,reportingDate,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,elevation,dominant_land_cover,X5_Ct_2010_Da,X5_Bf_2010_Da,lumpy
42.75,57.25,,,,81.7,5.7,31.0,0.1,44.8,-13.9,-11.0,-8.2,2.5,19.56,155,4,119.062674,2.53e-05,0
93.25,27.25,,,,35.9,12.7,5.85,1.6,9.4,4.8,11.1,17.5,10.4,0.93,203,4,579.8903609,0.0,0
20.377271,41.665616,Europe,Albania,16/12/2016,81.0,6.6,24.49,0.8,79.1,-3.3,0.0,3.3,4.4,10.8,131,4,1087.326487,0.0,1
83.25,18.75,,,,22.6,12.6,0.0,3.2,0.2,14.3,20.6,26.9,16.9,0.04,122,2,4070.70586,3656.08462,0
87.25,58.75,,,,63.4,7.5,31.0,0.0,18.7,-27.5,-23.7,-20.0,1.0,14.22,152,4,6.701660059,9.09e-05,0
36.25,30.75,,,,38.0,10.9,6.71,2.0,31.8,4.4,9.8,15.3,7.9,5.57,181,9,0.0,0.0,0
127.75,52.75,,,,33.5,12.4,31.0,0.0,2.4,-32.5,-26.3,-20.1,0.8,2.87,158,4,17.30228596,0.001049235,0
136.25,65.25,,,,56.1,7.0,31.0,0.0,2.0,-47.9,-44.4,-40.9,0.2,2.33,170,4,1.369442508,0.000333072,0
71.25,55.75,,,,47.9,8.3,31.0,0.0,4.2,-26.0,-21.8,-17.7,1.0,4.57,153,2,172.93862,0.000613501,0
48.75,66.25,,,,81.0,7.9,31.0,0.0,35.0,-21.3,-17.3,-13.4,1.5,21.2,152,4,0.195391491,0.000100193,0
35.75,63.25,,,,90.1,6.5,31.0,0.0,55.8,-15.0,-11.7,-8.5,2.4,17.9,158,4,3.024293429,0.000298703,0
33.25,30.75,,,,41.6,10.9,0.33,2.2,7.5,8.8,14.2,19.7,11.2,4.21,167,9,5.094713808,0.0,0
89.75,25.25,,,,42.0,13.0,0.0,2.1,5.3,11.5,18.0,24.5,14.8,0.83,148,11,17100.31151,847.3328729,0
108.25,36.25,,,,46.3,8.9,30.73,1.0,1.9,-11.9,-7.4,-3.0,0.4,2.02,190,4,710.166591,0.0,0
119.25,33.25,,,,47.6,8.5,26.68,1.3,3.6,-5.4,-1.1,3.2,2.9,2.11,145,11,563.3006533,0.814767291,0
96.25,71.75,,,,61.6,6.9,31.0,0.0,31.3,-31.4,-27.9,-24.5,0.5,18.51,153,3,13.51410408,0.000653128,0
77.25,14.25,,,,17.1,12.9,0.0,4.2,0.0,17.2,23.6,30.1,15.5,0.0,175,2,5328.898337,1465.401875,0
80.75,46.25,,,,39.8,11.7,31.0,0.2,15.3,-23.2,-17.3,-11.5,1.3,4.45,168,8,234.8517203,0.001510795,0
81.25,6.75,,,,52.0,7.7,0.0,4.0,228.1,21.3,25.1,29.0,24.3,7.2,154,2,1060.031732,576.5232893,0
106.25,28.75,,,,81.5,2.3,10.53,0.9,25.2,2.8,3.9,5.1,6.4,15.99,175,2,1696.538251,691.1387342,0
45.75,40.25,,,,64.9,8.3,30.9,0.7,34.2,-12.7,-8.5,-4.4,1.0,9.51,190,2,1493.042133,0.000114786,0
107.75,60.75,,,,75.9,9.0,31.0,0.0,9.0,-36.0,-31.5,-27.0,0.4,4.21,160,4,3.697977571,0.000109093,0
121.75,55.75,,,,61.3,11.7,31.0,0.0,2.3,-35.8,-29.9,-24.1,0.4,2.43,184,4,3.399070141,0.000141733,0
14.75,-22.75,,,,58.8,8.5,0.0,4.1,5.0,16.4,20.6,24.9,17.1,2.7,164,3,0.0,0.0,0
21.8139,40.9353,Europe,Greece,2/8/2016,69.2,7.1,25.25,0.6,38.2,-4.0,-0.4,3.2,4.5,9.95,150,11,0.0,0.0,1
115.75,31.75,,,,58.6,8.1,25.99,1.5,10.7,-4.7,-0.6,3.5,2.3,5.48,178,4,590.3221643,246.1155337,0
88.25,69.75,,,,78.6,7.3,31.0,0.0,32.8,-29.4,-25.7,-22.1,0.8,20.47,157,3,16.81787988,0.000823337,0
23.83967,41.68827,Europe,Bulgaria,7/6/2016,80.8,6.4,25.99,0.9,33.9,-4.7,-1.5,1.7,3.6,7.47,189,4,86.1292802,1.02e-07,1
74.25,56.75,,,,49.8,8.2,31.0,0.0,4.9,-26.0,-21.9,-17.8,1.0,2.02,152,2,107.3232502,0.000672469,0
55.75,30.25,,,,44.2,15.6,23.91,2.0,29.7,-2.8,5.0,12.8,3.9,6.2,208,5,123.4280069,0.0,0
51.75,58.75,,,,66.8,6.2,31.0,0.0,46.4,-17.2,-14.1,-11.0,1.9,23.51,160,4,93.29706294,2.71e-05,0
41.75,48.75,,,,80.4,5.2,29.31,0.2,29.1,-8.7,-6.1,-3.5,3.6,13.94,158,2,267.2022046,0.000209305,0
78.75,70.25,,,,79.6,6.9,31.0,0.0,37.6,-25.5,-22.0,-18.6,1.1,22.03,146,3,0.003346039,0.004532242,0
88.75,33.25,,,,38.6,13.3,31.0,0.8,3.6,-23.0,-16.3,-9.7,0.3,2.71,188,3,87.61714156,0.0,0
124.25,62.25,,,,63.2,6.0,31.0,0.0,12.1,-36.1,-33.1,-30.1,0.3,5.57,157,4,3.999346597,8.1e-05,0
84.25,22.25,,,,30.7,14.4,0.0,2.5,2.8,11.0,18.2,25.4,14.4,0.59,158,2,4503.378903,294.9365881,0
63.75,67.75,,,,87.0,6.6,31.0,0.1,18.0,-24.4,-21.1,-17.8,1.0,15.84,158,3,1.519137029,0.000367891,0
122.75,66.25,,,,62.3,5.9,31.0,0.0,16.0,-36.3,-33.3,-30.4,0.3,6.33,155,4,1.945191368,0.000139529,0
112.75,58.25,,,,76.1,8.2,31.0,0.0,8.0,-36.1,-32.0,-27.9,0.3,7.6,173,4,5.033638791,0.000292399,0
68.25,53.75,,,,39.8,8.4,31.0,0.0,3.0,-25.0,-20.8,-16.6,1.1,4.77,159,2,133.5510692,0.009538706,0
