x,y,region,country,reportingDate,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,elevation,dominant_land_cover,X5_Ct_2010_Da,X5_Bf_2010_Da,lumpy
106.75,69.75,,,,61.2,7.7,31.0,0.0,17.7,-36.2,-32.3,-28.5,0.3,9.14,178,3,5.255664091,0.000327705,0
103.75,74.75,,,,52.0,6.3,31.0,0.0,19.0,-34.2,-31.0,-27.9,0.5,13.91,140,11,5.409015939,0.000744546,0
159.75,68.25,,,,76.0,8.7,31.0,0.0,9.6,-34.0,-29.6,-25.3,0.6,12.52,149,3,2.196131849,0.00113069,0
81.25,41.75,,,,39.6,13.5,31.0,0.7,1.7,-20.0,-13.2,-6.5,0.1,1.15,174,2,744.6802432,0.0,0
61.75,52.25,,,,41.9,8.8,31.0,0.1,7.1,-23.1,-18.7,-14.3,1.3,5.87,161,2,128.1958867,0.002684439,0
88.75,21.75,,,,39.2,10.6,0.0,2.5,0.1,14.9,20.2,25.5,16.6,0.01,145,7,2028.827317,490.6434451,0
79.25,40.25,,,,45.6,12.6,31.0,0.5,0.2,-15.3,-9.0,-2.7,1.6,0.11,181,3,0.440228,0.0,0
161.25,63.25,,,,71.5,8.5,31.0,0.1,12.0,-30.3,-26.0,-21.8,0.5,12.9,163,4,0.020083653,0.00069341,0
156.25,65.25,,,,80.5,8.5,31.0,0.1,17.1,-35.7,-31.4,-27.2,0.3,17.83,157,3,0.003313726,0.000303551,0
81.75,49.25,,,,61.6,10.5,31.0,0.3,6.3,-26.6,-21.3,-16.1,0.7,6.24,176,8,180.9429897,0.001279748,0
108.75,64.25,,,,75.8,8.5,31.0,0.0,8.8,-35.5,-31.2,-27.0,0.3,10.33,158,4,2.406284345,0.0002479,0
161.75,59.25,,,,74.3,7.7,31.0,0.2,14.9,-26.9,-23.0,-19.2,0.7,9.33,163,5,24.43510526,0.01537627,0
133.25,49.75,,,,43.6,9.7,31.0,0.1,5.3,-29.8,-24.9,-20.1,0.5,3.96,183,4,2.18877644,5.05e-05,0
90.25,25.75,,,,43.3,12.1,0.0,2.0,9.3,10.6,16.6,22.7,13.9,0.68,166,5,3380.601344,210.5660738,0
54.25,32.75,,,,48.2,12.9,18.98,1.5,9.2,-0.4,6.1,12.6,4.5,5.03,194,9,18.53602769,0.0,0
80.25,19.75,,,,15.6,14.8,0.0,3.3,0.9,14.1,21.5,28.9,14.6,0.16,164,5,3350.204404,706.1641111,0
134.25,70.25,,,,52.2,6.5,31.0,0.0,10.4,-47.9,-44.6,-41.4,0.1,7.05,164,3,1.21554952,0.000223533,0
108.25,51.25,,,,42.0,9.9,31.0,0.1,2.7,-32.3,-27.3,-22.4,0.4,1.59,171,2,122.4867365,0.001476283,0
-177.25,66.75,,,,79.4,8.0,31.0,0.0,53.5,-21.7,-17.7,-13.7,1.8,13.94,169,9,0.0,0.000855212,0
35.9675,31.8067,Asia,Jordan,11/6/2013,49.1,8.8,1.31,1.8,57.6,7.6,12.0,16.4,9.9,10.99,205,2,198.4346352,0.0,1
12.25,-16.25,,,,68.8,7.6,0.0,3.4,25.0,17.6,21.4,25.2,20.7,3.2,163,9,0.0,0.0,0
111.75,52.75,,,,30.1,12.6,31.0,0.0,0.8,-35.4,-29.1,-22.8,0.4,0.35,180,4,88.18454518,0.000256012,0
23.9336,41.1297,Europe,Greece,20/06/2016,77.4,6.6,23.09,0.8,34.5,-2.1,1.2,4.5,4.7,7.07,186,4,610.0823843,0.0,1
42.25,46.25,,,,79.2,6.5,27.41,0.4,23.8,-6.2,-2.9,0.4,4.4,12.75,153,2,333.9616634,0.000262217,0
90.25,50.25,,,,40.8,13.6,31.0,0.1,10.0,-42.7,-35.9,-29.1,0.0,5.71,146,3,81.36342604,0.002374712,0
78.25,14.75,,,,17.6,12.6,0.0,4.2,0.0,18.3,24.6,30.9,17.0,0.0,164,2,2312.677594,0.0,0
42.0148,44.1934,Europe,Russian Federation,25/08/2016,73.7,8.6,28.09,0.5,35.5,-7.0,-2.7,1.6,4.3,11.88,171,11,1079.739951,0.000178097,1
75.75,13.75,,,,15.3,12.6,0.0,4.2,0.2,17.2,23.5,29.8,17.5,0.0,176,2,7840.600511,1061.675744,0
